3843123,1553824988,Neuquen,"{'Lat': -38.951611, 'Lon': -68.059097}","{'temp': 64.4, 'temp_min': 64.4, 'temp_max': 64.4, 'pressure': 1015, 'humidity': 82}","{'speed': 1, 'deg': 320}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3836669,1553824988,San Rafael,"{'Lat': -34.617722, 'Lon': -68.33007}","{'temp': 57.27, 'temp_min': 57.27, 'temp_max': 57.27, 'pressure': 1016.46, 'sea_level': 1016.46, 'grnd_level': 915.68, 'humidity': 74}","{'speed': 2.61, 'deg': 4.50064}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3871336,1553825021,Santiago,"{'Lat': -33.45694, 'Lon': -70.64827}","{'temp': 64.81, 'temp_min': 57.2, 'temp_max': 70, 'pressure': 1017, 'humidity': 76}","{'speed': 3.6, 'deg': 160}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3893629,1553824987,Coquimbo,"{'Lat': -29.953329, 'Lon': -71.343613}","{'temp': 57.2, 'temp_min': 57.2, 'temp_max': 57.2, 'pressure': 1016, 'humidity': 82}","{'speed': 2.6, 'deg': 300}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3837213,1553824987,San Juan,"{'Lat': -31.5375, 'Lon': -68.536392}","{'temp': 58.98, 'temp_min': 58.98, 'temp_max': 58.98, 'pressure': 1017.06, 'sea_level': 1017.06, 'grnd_level': 931.68, 'humidity': 79}","{'speed': 1.76, 'deg': 308.001}",,,{'today': 68},"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]"
3893656,1553824987,Copiapo,"{'Lat': -27.366671, 'Lon': -70.333328}","{'temp': 59, 'temp_min': 59, 'temp_max': 59, 'pressure': 1017, 'humidity': 82}","{'speed': 3.1, 'deg': 240}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3899539,1553824987,Antofagasta,"{'Lat': -23.65, 'Lon': -70.400002}","{'temp': 66.2, 'temp_min': 66.2, 'temp_max': 66.2, 'pressure': 1016, 'humidity': 72}","{'speed': 4.1, 'deg': 190}",,,{'today': 90},"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]"
3691175,1553825011,Trujillo,"{'Lat': -8.11599, 'Lon': -79.029984}","{'temp': 69.8, 'temp_min': 69.8, 'temp_max': 69.8, 'pressure': 1013, 'humidity': 88}","{'speed': 4.1, 'deg': 130}",,,{'today': 75},"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]"
3657509,1553825011,Guayaquil,"{'Lat': -2.16667, 'Lon': -79.900002}","{'temp': 81.12, 'temp_min': 80.01, 'temp_max': 82.4, 'pressure': 1012, 'humidity': 69}","{'speed': 5.1, 'deg': 220}",,,{'today': 75},"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]"
3936456,1553825011,Lima,"{'Lat': -12.04318, 'Lon': -77.028236}","{'temp': 71.85, 'temp_min': 71.6, 'temp_max': 72, 'pressure': 1014, 'humidity': 83}","{'speed': 2.6, 'deg': 200}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3935288,1553828527,Minas de Marcona,"{'Lat': -15.21194, 'Lon': -75.110283}","{'temp': 69.15, 'temp_min': 69.15, 'temp_max': 69.15, 'pressure': 1013.78, 'sea_level': 1013.78, 'grnd_level': 914.32, 'humidity': 65}","{'speed': 0.61, 'deg': 76.5006}",,,{'today': 100},"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]"
3939459,1553825011,Huancayo,"{'Lat': -12.06667, 'Lon': -75.23333}","{'temp': 42.69, 'temp_min': 42.69, 'temp_max': 42.69, 'pressure': 1013.26, 'sea_level': 1013.26, 'grnd_level': 637.04, 'humidity': 94}","{'speed': 0.91, 'deg': 73.5006}",{'3h': 0.695},,{'today': 80},"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]"
3928924,1553828511,Satipo,"{'Lat': -11.25222, 'Lon': -74.638611}","{'temp': 64.74, 'temp_min': 64.74, 'temp_max': 64.74, 'pressure': 1013.82, 'sea_level': 1013.82, 'grnd_level': 892.64, 'humidity': 95}","{'speed': 0.51, 'deg': 217.001}",,,{'today': 32},"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]"
3887127,1553828499,Iquique,"{'Lat': -20.220831, 'Lon': -70.143059}","{'temp': 71.6, 'temp_min': 71.6, 'temp_max': 71.6, 'pressure': 1017, 'humidity': 64}","{'speed': 4.6, 'deg': 180}",,,{'today': 90},"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]"
3947322,1553825011,Arequipa,"{'Lat': -16.39889, 'Lon': -71.535004}","{'temp': 59, 'temp_min': 59, 'temp_max': 59, 'pressure': 1029, 'humidity': 77}","{'speed': 1.5, 'deg': 70}",,,{'today': 75},"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]"
3941584,1553825011,Cusco,"{'Lat': -13.51833, 'Lon': -71.978058}","{'temp': 48.4, 'temp_min': 46.99, 'temp_max': 50, 'pressure': 1035, 'humidity': 71}","{'speed': 1.5, 'deg': 270}",,,{'today': 40},"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]"
3911925,1553828494,La Paz,"{'Lat': -16.5, 'Lon': -68.150002}","{'temp': 41, 'temp_min': 41, 'temp_max': 41, 'pressure': 1040, 'humidity': 86}","{'speed': 3.6, 'deg': 70}",,,{'today': 75},"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]"
3693345,1553825011,Pucallpa,"{'Lat': -8.37915, 'Lon': -74.553871}","{'temp': 73.4, 'temp_min': 73.4, 'temp_max': 73.4, 'pressure': 1014, 'humidity': 100}","{'speed': 1.5, 'deg': 250}",,,{'today': 75},"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]"
3652462,1553825011,Quito,"{'Lat': -0.22985, 'Lon': -78.524948}","{'temp': 55.27, 'temp_min': 52, 'temp_max': 59, 'pressure': 1027, 'humidity': 87}","{'speed': 3.1, 'deg': 10}",,,{'today': 90},"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]"
3696183,1553825011,Iquitos,"{'Lat': -3.74806, 'Lon': -73.247223}","{'temp': 77, 'temp_min': 77, 'temp_max': 77, 'pressure': 1012, 'humidity': 94}","{'speed': 0.96, 'deg': 146.501}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3919998,1553828498,Cobija,"{'Lat': -11.02671, 'Lon': -68.76918}","{'temp': 78.42, 'temp_min': 78.42, 'temp_max': 78.42, 'pressure': 1012.58, 'sea_level': 1012.58, 'grnd_level': 982, 'humidity': 73}","{'speed': 1.51, 'deg': 88.5006}",,,{'today': 76},"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]"
3662155,1553824996,Sena Madureira,"{'Lat': -9.06556, 'Lon': -68.656937}","{'temp': 74.28, 'temp_min': 74.28, 'temp_max': 74.28, 'pressure': 1012.78, 'sea_level': 1012.78, 'grnd_level': 993.68, 'humidity': 92}","{'speed': 0.96, 'deg': 77.0006}",{'3h': 0.47},,{'today': 88},"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]"
